id	x	y
R_rxn10308_LSQBKT_c0_RSQBKT_	-1478.9012153606911	-273.6187040475684
M_cpd15765_c0	-11976.568590912117	-2324.178303654297
M_cpd11436_c0	7664.171174527629	9492.127275144376
R_rxn05249_LSQBKT_c0_RSQBKT_	934.575271195342	1178.3823922946885
M_cpd11437_c0	7497.243246108235	9624.517842919948
M_cpd01997_c0	1016.0304034504137	-12157.618279057144
R_rxn02897_LSQBKT_c0_RSQBKT_	-436.8329469779683	-13004.665354265544
M_cpd00873_c0	-1750.3308853460271	-13712.74289818794
M_cpd00218_c0	-1612.1102617579247	-13729.678674460476
M_cpd02904_c0	-1521.6426509684625	-13739.999259197712
M_cpd03495_c0	-613.0797354715122	-16912.8918058963
R_rxn03409_LSQBKT_c0_RSQBKT_	-1141.703069500772	-17623.056321225682
M_cpd03496_c0	-1189.5434019713593	-18361.50828485575
R_rxn01301_LSQBKT_c0_RSQBKT_	16163.660017570031	887.3775050157368
R_rxn07191_LSQBKT_c0_RSQBKT_	14347.618050838226	-14798.662110720048
M_cpd08368_c0	13325.877003562187	3677.4961707570055
R_rxn04046_LSQBKT_c0_RSQBKT_	14108.618042833925	3893.5065071758922
M_cpd08369_c0	14891.359082105662	4109.516843594779
M_cpd03491_c0	-10076.925635298156	-6877.177454499112
R_rxn03407_LSQBKT_c0_RSQBKT_	-1234.819967450463	-858.624276377996
M_cpd03492_c0	-9955.294174506149	-7052.100247376235
M_cpd02210_c0	-9305.8464395025	-10222.729481131671
R_rxn01682_LSQBKT_c0_RSQBKT_	-9927.55633440919	-10754.353594109316
M_cpd00359_c0	-9376.779090384844	-10157.705936387487
M_cpd02720_c0	15439.14424641649	-522.9999410560464
R_rxn02474_LSQBKT_c0_RSQBKT_	16087.483583269717	1801.1707187347104
M_cpd00931_c0	16818.913526269873	1883.0623451857077
M_cpd15750_c0	-8029.055572847483	9185.546614553037
R_rxn10311_LSQBKT_c0_RSQBKT_	-999.6613729882844	1123.696195310449
M_cpd15768_c0	-8188.236734482682	9043.93604466929
M_cpd00350_c0	-3783.173227122875	-18006.876473547007
R_rxn01486_LSQBKT_c0_RSQBKT_	-3631.023869075542	-17282.68687624131
M_cpd00289_c0	-4803.036089886843	-16228.142848744108
