id	x	y
M_cpd02535_c0	1050.0	6075.0
R_rxn03437_LSQBKT_c0_RSQBKT_	1050.0	14425.0
M_cpd00508_c0	950.0	14425.0
M_cpd00807_c0	10400.0	5175.0
R_rxn02320_LSQBKT_c0_RSQBKT_	10125.0	5175.0
M_cpd00930_c0	10125.0	5550.0
R_rxn07587_LSQBKT_c0_RSQBKT_	800.0	19700.0
M_cpd08372_c0	700.0	19700.0
M_cpd00956_c0	3700.0	18550.0
R_rxn02507_LSQBKT_c0_RSQBKT_	3700.0	18650.0
M_cpd00141_c0	12675.0	125.0
R_rxn00669_LSQBKT_c0_RSQBKT_	12675.0	25.0
M_cpd00086_c0	12775.0	25.0
R_rxn01333_LSQBKT_c0_RSQBKT_	5925.0	11000.0
M_cpd00236_c0	5925.0	10900.0
M_cpd03706_c0	8425.0	11375.0
R_rxn00714_LSQBKT_c0_RSQBKT_	8525.0	11375.0
M_cpd00274_c0	2875.0	1775.0
R_rxn01434_LSQBKT_c0_RSQBKT_	2875.0	1875.0
M_cpd00171_c0	9025.0	8275.0
R_rxn01116_LSQBKT_c0_RSQBKT_	6475.0	10700.0
M_cpd15523_c0	18075.0	125.0
R_rxn08308_LSQBKT_c0_RSQBKT_	18075.0	25.0
M_cpd15422_c0	18250.0	25.0
M_cpd00096_c0	10600.0	22675.0
R_rxn00409_LSQBKT_c0_RSQBKT_	10600.0	22575.0
R_rxn02213_LSQBKT_c0_RSQBKT_	4450.0	9500.0
M_cpd01716_c0	4450.0	9600.0
M_cpd02693_c0	1075.0	21375.0
R_rxn03062_LSQBKT_c0_RSQBKT_	1175.0	21375.0
M_cpd02605_c0	1175.0	21275.0
M_cpd03607_c0	21150.0	125.0
R_rxn03446_LSQBKT_c0_RSQBKT_	21150.0	25.0
M_cpd03608_c0	21250.0	25.0
R_rxn01519_LSQBKT_c0_RSQBKT_	3350.0	8275.0
M_cpd00299_c0	3500.0	8275.0
M_cpd00338_c0	1625.0	20425.0
R_rxn00029_LSQBKT_c0_RSQBKT_	1875.0	20425.0
M_cpd00689_c0	1875.0	20125.0
R_rxn03491_LSQBKT_c0_RSQBKT_	11825.0	125.0
M_cpd03835_c0	11825.0	350.0
R_rxn01964_LSQBKT_c0_RSQBKT_	3975.0	18650.0
M_cpd00065_c0	3975.0	18750.0
M_cpd00644_c0	6475.0	15825.0
R_rxn12510_LSQBKT_c0_RSQBKT_	6475.0	15325.0
R_rxn09207_LSQBKT_c0_RSQBKT_	18250.0	125.0
M_cpd15554_c0	18150.0	125.0
M_cpd00863_c0	6375.0	11275.0
R_rxn02380_LSQBKT_c0_RSQBKT_	6375.0	11000.0
R_rxn00474_LSQBKT_c0_RSQBKT_	4075.0	18750.0
R_rxn03435_LSQBKT_c0_RSQBKT_	1575.0	6075.0
M_cpd10162_c0	1675.0	6075.0
M_cpd00533_c0	3500.0	8675.0
R_rxn01673_LSQBKT_c0_RSQBKT_	3500.0	8775.0
M_cpd00356_c0	3200.0	8775.0
M_cpd15604_c0	1475.0	21625.0
R_rxn12845_LSQBKT_c0_RSQBKT_	1475.0	21525.0
R_rxn00832_LSQBKT_c0_RSQBKT_	9925.0	15775.0
M_cpd02884_c0	9925.0	12025.0
M_cpd00175_c0	1150.0	4875.0
R_rxn00295_LSQBKT_c0_RSQBKT_	1150.0	4975.0
R_rxn02187_LSQBKT_c0_RSQBKT_	1525.0	21025.0
M_cpd02569_c0	1425.0	21025.0
M_cpd00206_c0	3400.0	8575.0
R_rxn01219_LSQBKT_c0_RSQBKT_	3400.0	8675.0
M_cpd03834_c0	13725.0	125.0
R_rxn03514_LSQBKT_c0_RSQBKT_	13725.0	25.0
M_cpd03839_c0	13825.0	25.0
R_rxn01270_LSQBKT_c0_RSQBKT_	8025.0	14475.0
M_cpd00616_c0	8125.0	14475.0
M_cpd00219_c0	7525.0	14475.0
M_cpd15524_c0	13475.0	225.0
R_rxn08309_LSQBKT_c0_RSQBKT_	13475.0	125.0
M_cpd15527_c0	18500.0	125.0
R_rxn08312_LSQBKT_c0_RSQBKT_	18500.0	25.0
M_cpd15420_c0	18675.0	25.0
R_rxn05144_LSQBKT_c0_RSQBKT_	9025.0	6450.0
M_cpd00016_c0	9125.0	6450.0
R_rxn00410_LSQBKT_c0_RSQBKT_	8050.0	8225.0
R_rxn05221_LSQBKT_c0_RSQBKT_	3625.0	1450.0
M_cpd00129_e0	3725.0	1450.0
M_cpd00129_c0	3625.0	1925.0
R_rxn09210_LSQBKT_c0_RSQBKT_	7750.0	15275.0
